Date : 2021-08-22 09:32:34
Directory : e:\GIT\FoodTech\src
Total : 133 files,  53370 codes, 373 comments, 9473 blanks, all 63216 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         15 |     36,592 |        105 |      6,130 |     42,827 |
| JavaScript |         90 |      9,789 |        192 |      2,711 |     12,692 |
| XML        |         10 |      4,288 |          0 |          5 |      4,293 |
| HTML       |         13 |      2,197 |         60 |        571 |      2,828 |
| SCSS       |          2 |        257 |         10 |         29 |        296 |
| Less       |          2 |        239 |          6 |         25 |        270 |
| Ruby       |          1 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        133 |     53,370 |        373 |      9,473 |     63,216 |
| db                                                                               |          1 |         14 |          1 |          1 |         16 |
| middleware                                                                       |          3 |         43 |          2 |          9 |         54 |
| modules                                                                          |         30 |      1,648 |         61 |        141 |      1,850 |
| modules\category                                                                 |          4 |        177 |          0 |         21 |        198 |
| modules\departments                                                              |          3 |         91 |          0 |         14 |        105 |
| modules\issue                                                                    |          3 |        226 |          0 |         16 |        242 |
| modules\items                                                                    |          3 |        186 |          0 |         15 |        201 |
| modules\labs                                                                     |          3 |         99 |          0 |         11 |        110 |
| modules\mail                                                                     |          3 |        286 |          1 |          8 |        295 |
| modules\purchase                                                                 |          3 |        238 |          0 |         25 |        263 |
| modules\return                                                                   |          3 |        118 |         44 |         11 |        173 |
| modules\signin                                                                   |          2 |         46 |         16 |          4 |         66 |
| modules\user                                                                     |          3 |        181 |          0 |         16 |        197 |
| public                                                                           |         97 |     51,616 |        301 |      9,310 |     61,227 |
| public\Panel                                                                     |         69 |     43,129 |        164 |      8,122 |     51,415 |
| public\Panel\Admin                                                               |         17 |     10,680 |         37 |      2,007 |     12,724 |
| public\Panel\Admin\assets                                                        |          3 |        281 |          2 |         27 |        310 |
| public\Panel\Admin\assets\img                                                    |          1 |          1 |          0 |          0 |          1 |
| public\Panel\Admin\css                                                           |          2 |      8,799 |         14 |      1,471 |     10,284 |
| public\Panel\Admin\js                                                            |         11 |      1,407 |         10 |        416 |      1,833 |
| public\Panel\LabAdmin                                                            |         17 |     10,681 |         37 |      2,007 |     12,725 |
| public\Panel\LabAdmin\assets                                                     |          3 |        281 |          2 |         27 |        310 |
| public\Panel\LabAdmin\assets\img                                                 |          1 |          1 |          0 |          0 |          1 |
| public\Panel\LabAdmin\css                                                        |          2 |      8,799 |         14 |      1,471 |     10,284 |
| public\Panel\LabAdmin\js                                                         |         11 |      1,411 |         10 |        414 |      1,835 |
| public\Panel\MasterAdmin                                                         |         25 |     12,047 |         52 |      2,421 |     14,520 |
| public\Panel\MasterAdmin\assets                                                  |          3 |        281 |          2 |         27 |        310 |
| public\Panel\MasterAdmin\assets\img                                              |          1 |          1 |          0 |          0 |          1 |
| public\Panel\MasterAdmin\css                                                     |          2 |      8,799 |         14 |      1,471 |     10,284 |
| public\Panel\MasterAdmin\js                                                      |         19 |      2,714 |         25 |        792 |      3,531 |
| public\Panel\User                                                                |         10 |      9,721 |         38 |      1,687 |     11,446 |
| public\Panel\User\assets                                                         |          3 |        281 |          2 |         27 |        310 |
| public\Panel\User\assets\img                                                     |          1 |          1 |          0 |          0 |          1 |
| public\Panel\User\css                                                            |          2 |      8,799 |         14 |      1,471 |     10,284 |
| public\Panel\User\js                                                             |          3 |        200 |          3 |         45 |        248 |
| public\css                                                                       |          3 |        811 |         34 |        164 |      1,009 |
| public\fontawesome-5.5                                                           |          4 |      4,270 |          4 |          3 |      4,277 |
| public\fontawesome-5.5\css                                                       |          1 |          1 |          4 |          0 |          5 |
| public\fontawesome-5.5\webfonts                                                  |          3 |      4,269 |          0 |          3 |      4,272 |
| public\img                                                                       |          2 |          2 |          0 |          0 |          2 |
| public\js                                                                        |          7 |        182 |         22 |         34 |        238 |
| public\magnific-popup                                                            |          2 |        311 |          9 |         36 |        356 |
| public\slick                                                                     |         10 |      2,911 |         68 |        951 |      3,930 |
| public\slick\fonts                                                               |          1 |         13 |          0 |          2 |         15 |
| router                                                                           |          1 |          2 |          1 |          3 |          6 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                         | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\GIT\FoodTech\src\app.js                                                       | JavaScript |         47 |          7 |          9 |         63 |
| e:\GIT\FoodTech\src\db\db.js                                                     | JavaScript |         14 |          1 |          1 |         16 |
| e:\GIT\FoodTech\src\middleware\Auth.js                                           | JavaScript |         13 |          0 |          2 |         15 |
| e:\GIT\FoodTech\src\middleware\Oauth.js                                          | JavaScript |         16 |          0 |          5 |         21 |
| e:\GIT\FoodTech\src\middleware\errorController.js                                | JavaScript |         14 |          2 |          2 |         18 |
| e:\GIT\FoodTech\src\modules\category\category.model.js                           | JavaScript |         23 |          0 |          2 |         25 |
| e:\GIT\FoodTech\src\modules\category\category.routes.js                          | JavaScript |         41 |          0 |          8 |         49 |
| e:\GIT\FoodTech\src\modules\category\category.service.js                         | JavaScript |         85 |          0 |          9 |         94 |
| e:\GIT\FoodTech\src\modules\category\subCategory.model.js                        | JavaScript |         28 |          0 |          2 |         30 |
| e:\GIT\FoodTech\src\modules\departments\department.model.js                      | JavaScript |         33 |          0 |          3 |         36 |
| e:\GIT\FoodTech\src\modules\departments\department.routes.js                     | JavaScript |         29 |          0 |          5 |         34 |
| e:\GIT\FoodTech\src\modules\departments\departments.services.js                  | JavaScript |         29 |          0 |          6 |         35 |
| e:\GIT\FoodTech\src\modules\issue\issue.model.js                                 | JavaScript |         54 |          0 |          1 |         55 |
| e:\GIT\FoodTech\src\modules\issue\issue.routes.js                                | JavaScript |         41 |          0 |          8 |         49 |
| e:\GIT\FoodTech\src\modules\issue\issue.service.js                               | JavaScript |        131 |          0 |          7 |        138 |
| e:\GIT\FoodTech\src\modules\items\item.model.js                                  | JavaScript |         75 |          0 |          4 |         79 |
| e:\GIT\FoodTech\src\modules\items\item.routes.js                                 | JavaScript |         35 |          0 |          5 |         40 |
| e:\GIT\FoodTech\src\modules\items\item.service.js                                | JavaScript |         76 |          0 |          6 |         82 |
| e:\GIT\FoodTech\src\modules\labs\labs.model.js                                   | JavaScript |         31 |          0 |          2 |         33 |
| e:\GIT\FoodTech\src\modules\labs\labs.routes.js                                  | JavaScript |         24 |          0 |          3 |         27 |
| e:\GIT\FoodTech\src\modules\labs\labs.services.js                                | JavaScript |         44 |          0 |          6 |         50 |
| e:\GIT\FoodTech\src\modules\mail\SignUp.mailer.js                                | JavaScript |        271 |          1 |          4 |        276 |
| e:\GIT\FoodTech\src\modules\mail\emailtemplate.js                                | JavaScript |          0 |          0 |          1 |          1 |
| e:\GIT\FoodTech\src\modules\mail\mailgun.js                                      | JavaScript |         15 |          0 |          3 |         18 |
| e:\GIT\FoodTech\src\modules\purchase\purchase.model.js                           | JavaScript |         99 |          0 |          5 |        104 |
| e:\GIT\FoodTech\src\modules\purchase\purchase.routes.js                          | JavaScript |         35 |          0 |          7 |         42 |
| e:\GIT\FoodTech\src\modules\purchase\purchase.service.js                         | JavaScript |        104 |          0 |         13 |        117 |
| e:\GIT\FoodTech\src\modules\return\return.model.js                               | JavaScript |         25 |          0 |          2 |         27 |
| e:\GIT\FoodTech\src\modules\return\return.routes.js                              | JavaScript |         23 |         15 |          5 |         43 |
| e:\GIT\FoodTech\src\modules\return\return.service.js                             | JavaScript |         70 |         29 |          4 |        103 |
| e:\GIT\FoodTech\src\modules\signin\signin.routes.js                              | JavaScript |          6 |         15 |          1 |         22 |
| e:\GIT\FoodTech\src\modules\signin\signinService.js                              | JavaScript |         40 |          1 |          3 |         44 |
| e:\GIT\FoodTech\src\modules\user\user.model.js                                   | JavaScript |        101 |          0 |          5 |        106 |
| e:\GIT\FoodTech\src\modules\user\user.routes.js                                  | JavaScript |         24 |          0 |          5 |         29 |
| e:\GIT\FoodTech\src\modules\user\user.services.js                                | JavaScript |         56 |          0 |          6 |         62 |
| e:\GIT\FoodTech\src\public\Panel\Admin\assets\img\error-404-monochrome.svg       | XML        |          1 |          0 |          0 |          1 |
| e:\GIT\FoodTech\src\public\Panel\Admin\assets\login.html                         | HTML       |         60 |          0 |          1 |         61 |
| e:\GIT\FoodTech\src\public\Panel\Admin\assets\purchase.html                      | HTML       |        220 |          2 |         26 |        248 |
| e:\GIT\FoodTech\src\public\Panel\Admin\css\myStyle.css                           | CSS        |         50 |          3 |         17 |         70 |
| e:\GIT\FoodTech\src\public\Panel\Admin\css\styles.css                            | CSS        |      8,749 |         11 |      1,454 |     10,214 |
| e:\GIT\FoodTech\src\public\Panel\Admin\index.html                                | HTML       |        193 |         11 |         93 |        297 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\addCategory.js                         | JavaScript |         51 |          2 |         10 |         63 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\addLab.js                              | JavaScript |        111 |          0 |         14 |        125 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\addSubCategory.js                      | JavaScript |         80 |          0 |         22 |        102 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\approveDelUser.js                      | JavaScript |        134 |          0 |         52 |        186 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\dashboard.js                           | JavaScript |         90 |          0 |          5 |         95 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\dashbord.js                            | JavaScript |         90 |          0 |          6 |         96 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\purchaseItem.js                        | JavaScript |        288 |          3 |        124 |        415 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\register.js                            | JavaScript |        141 |          1 |         16 |        158 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\scripts.js                             | JavaScript |         13 |          2 |          3 |         18 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\updateItem.js                          | JavaScript |        226 |          2 |        118 |        346 |
| e:\GIT\FoodTech\src\public\Panel\Admin\js\updateLab.js                           | JavaScript |        183 |          0 |         46 |        229 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\assets\img\error-404-monochrome.svg    | XML        |          1 |          0 |          0 |          1 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\assets\login.html                      | HTML       |         60 |          0 |          1 |         61 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\assets\purchase.html                   | HTML       |        220 |          2 |         26 |        248 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\css\myStyle.css                        | CSS        |         50 |          3 |         17 |         70 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\css\styles.css                         | CSS        |      8,749 |         11 |      1,454 |     10,214 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\index.html                             | HTML       |        190 |         11 |         95 |        296 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\addCategory.js                      | JavaScript |         51 |          2 |         10 |         63 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\addItem.js                          | JavaScript |        288 |          3 |        124 |        415 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\addLab.js                           | JavaScript |        115 |          0 |         12 |        127 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\addSubCategory.js                   | JavaScript |         80 |          0 |         22 |        102 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\approveDelUser.js                   | JavaScript |        134 |          0 |         52 |        186 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\dashboard.js                        | JavaScript |         90 |          0 |          5 |         95 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\dashbord.js                         | JavaScript |         90 |          0 |          6 |         96 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\register.js                         | JavaScript |        141 |          1 |         16 |        158 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\scripts.js                          | JavaScript |         13 |          2 |          3 |         18 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\updateItem.js                       | JavaScript |        226 |          2 |        118 |        346 |
| e:\GIT\FoodTech\src\public\Panel\LabAdmin\js\updateLab.js                        | JavaScript |        183 |          0 |         46 |        229 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\assets\img\error-404-monochrome.svg | XML        |          1 |          0 |          0 |          1 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\assets\login.html                   | HTML       |         60 |          0 |          1 |         61 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\assets\purchase.html                | HTML       |        220 |          2 |         26 |        248 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\css\myStyle.css                     | CSS        |         50 |          3 |         17 |         70 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\css\styles.css                      | CSS        |      8,749 |         11 |      1,454 |     10,214 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\index.html                          | HTML       |        253 |         11 |        131 |        395 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\addCategory.js                   | JavaScript |         51 |          2 |         10 |         63 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\addDepartment.js                 | JavaScript |         66 |          0 |         16 |         82 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\addItem.js                       | JavaScript |        228 |          4 |         64 |        296 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\addLab.js                        | JavaScript |        119 |          0 |         16 |        135 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\addSubCategory.js                | JavaScript |         79 |          0 |         22 |        101 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\approveDelUser.js                | JavaScript |        134 |          0 |         20 |        154 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\dashboard.js                     | JavaScript |         90 |          0 |          5 |         95 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\dashbord.js                      | JavaScript |         90 |          0 |          6 |         96 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\deleteDepartment.js              | JavaScript |        103 |          0 |         36 |        139 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\deleteLab.js                     | JavaScript |        131 |          3 |         33 |        167 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\issue.js                         | JavaScript |        218 |          3 |         62 |        283 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\purchaseItem.js                  | JavaScript |        310 |          4 |        117 |        431 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\register.js                      | JavaScript |        174 |          1 |         36 |        211 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\returnItem.js                    | JavaScript |        106 |          0 |         17 |        123 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\scripts.js                       | JavaScript |         13 |          2 |          3 |         18 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\updateDepartment.js              | JavaScript |        112 |          0 |         40 |        152 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\updateItem.js                    | JavaScript |        226 |          2 |        118 |        346 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\updateLab.js                     | JavaScript |        180 |          0 |         47 |        227 |
| e:\GIT\FoodTech\src\public\Panel\MasterAdmin\js\updatePurchase.js                | JavaScript |        284 |          4 |        124 |        412 |
| e:\GIT\FoodTech\src\public\Panel\User\assets\img\error-404-monochrome.svg        | XML        |          1 |          0 |          0 |          1 |
| e:\GIT\FoodTech\src\public\Panel\User\assets\login.html                          | HTML       |         60 |          0 |          1 |         61 |
| e:\GIT\FoodTech\src\public\Panel\User\assets\purchase.html                       | HTML       |        220 |          2 |         26 |        248 |
| e:\GIT\FoodTech\src\public\Panel\User\css\myStyle.css                            | CSS        |         50 |          3 |         17 |         70 |
