"filename", "language", "JavaScript", "Less", "SCSS", "CSS", "Ruby", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\app.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 7, 10, 68
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\db\db.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\middleware\Auth.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\middleware\Oauth.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\middleware\errorController.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 2, 2, 18
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\modules\category\category.model.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\modules\category\category.routes.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\modules\category\category.service.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 9, 94
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\modules\category\subCategory.model.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\modules\departments\department.model.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\modules\departments\department.routes.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Shah Aadil\Desktop\FoodTech\food_tech\src\modules\departments\departments.services.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
